아이템,300
레벨,261
변경,242
티어,203
단계,187
보상,139
퀘스트,127
획득,122
캐릭터,108
기존,107
장비,104
사용,97
진행,95
수정,85
조정,81
지급,78
아래,75
각인,75
완료,75
적용,75
추가,75
일부,75
던전,72
가이드,67
개편,66
구간,64
경우,64
재료,63
현상,62
클리어,61
콘텐츠,59
통해,58
재련,56
관문,56
원정,52
등급,50
이벤트,49
코코,49
입장,49
토벌,49
제거,49
익스,48
프레,48
이상,48
출력,47
교환,47
효과,47
전투,47
군단,47
레이드,47
개선,46
상자,46
설정,45
단장,45
패턴,45
제작,44
지원,43
스킬,43
상태,41
어비스,41
통합,40
가디언,39
선택,39
교체,39
안내,38
달성,38
보유,38
연구,37
대륙,36
관련,36
난이도,36
피해,35
가능,34
시점,32
항해,32
접속,32
배틀,32
라카,31
스톤,31
정보,31
확인,30
욕망,30
마하,29
성장,29
기능,29
어빌리티,29
조건,29
모험가,28
패스,27
툴팁,27
슈퍼,26
미션,26
수령,26
해당,26
정기,25
최초,25
시간,25
버튼,25
아바타,25
포드,25
