변경,488
증가,363
스킬,288
피해,285
포드,285
효과,206
기존,195
공격,192
게이지,119
피해량,115
다음,113
개선,109
적중,96
추가,94
감소,93
수정,92
적용,85
사용,77
듀얼,71
현상,71
시간,63
트,58
최대,58
이펙트,58
이동,55
치명,55
사격,52
적,51
상태,50
출력,46
아이템,44
각인,43
타격,42
속도,39
이후,38
단계,37
경우,36
이상,36
회복,36
퀘스트,36
진행,35
재사용,35
획득량,35
스탠스,35
클래스,34
잠식,33
전투,32
조정,32
해당,32
기공사,31
발생,30
일부,28
아래,26
소모,26
홀딩,26
캐릭터,26
횟수,26
전방,25
의뢰,25
획득,24
차지,24
완료,24
퍼펙트,24
대상,24
호크,24
헌터,23
범위,23
피격,23
즉시,23
데빌,22
거리,22
마지막,22
영지,22
시전,21
강화,21
기본,21
판단,20
준비,20
보유,20
공중,20
일반,20
위치,20
핸드,20
샷건,20
기운,20
내공,19
방식,19
폭발,19
동안,19
폭탄,19
입력,18
자신,18
미만,18
모든,18
탄환,18
가시,18
위로,17
몬스터,17
화상,17
선택,17
