단계,17
시즌,12
피해,12
변경,10
스킬,9
수정,9
때,9
금강,8
선공,8
증가,8
획득,7
몬스터,7
현상,7
적용,6
위치,6
퀘스트,6
내용,5
시작,5
평점,5
캐릭터,5
안내,4
지난,4
사용,4
일부,4
기존,4
감소,4
출력,4
원정,4
특정,4
로스트,3
아크,3
아래,3
플레이,3
경쟁,3
등급,3
조정,3
경우,3
이상,3
포드,3
효과,3
폭발,3
상태,3
진행,3
자키,3
이동,3
영지,3
정기,2
점검,2
종료,2
이후,2
업데이트,2
압축,2
정보,2
기준,2
발생,2
이용,2
계급,2
점수,2
달성,2
및,2
보상,2
추가,2
공격,2
통해,2
시전,2
경지,2
라인,2
체인,2
피격,2
마우스,2
툴팁,2
버프,2
군단,2
레이드,2
검색,2
얼음,2
대화,2
프로켈,2
사념,2
발사,2
구슬,2
시도,2
입력,2
입장,2
색상,2
참고,1
오픈,1
신규,1
이전,1
성적,1
토대,1
유지,1
진급,1
강등,1
것,1
용기,1
주화,1
유량,1
초기,1
초단,1
