현상,7
수정,7
출력,4
점검,3
진행,3
사용,3
캐릭터,3
카드,3
특정,3
로스트,2
아크,2
서비스,2
정기,2
게임,2
전투,2
라우,2
리엘,2
분신,2
배틀,2
붕대,2
이동,2
정보,2
자키,2
일부,2
사운드,2
스킬,2
버튼,2
클릭,2
안정화,1
종료,1
적용,1
사항,1
대해,1
안내,1
참고,1
시기,1
내용,1
어비스,1
던전,1
카양겔,1
요람,1
관문,1
지역,1
외곽,1
등장,1
석상,1
통해,1
가호,1
획득,1
파훼하,1
패턴,1
카운터,1
어택,1
태초,1
아레나,1
아이템,1
거나,1
동기,1
반복,1
간,1
버프,1
제거,1
다른,1
등록,1
툴팁,1
확인,1
각성,1
표시,1
호감,1
퀘스트,1
가닥,1
진실,1
운반,1
크롤,1
단계,1
말풍선,1
중복,1
발생,1
추가,1
그래픽,1
옵션,1
상태,1
때,1
다이크,1
칼리,1
나리,1
지형,1
바닥,1
검은색,1
클래스,1
플레이,1
조건,1
레벨,1
오늘,1
하루,1
이용,1
더욱,1
최선,1
항상,1
감사,1
